day,count
2023-06-08,12
2023-06-14,82
2023-06-15,1
2023-06-16,210
2023-06-17,42
2023-06-19,264
2023-06-20,24
2023-06-21,30
2023-06-22,56
2023-06-23,5
2023-06-24,1
2023-06-25,9
2023-06-26,97
2023-06-27,11
2023-06-29,83
2023-06-30,37
2023-07-02,10
2023-07-03,13
2023-07-04,2
2023-07-05,23
2023-07-09,92
2023-07-10,13
2023-07-11,1
2023-07-12,33
2023-07-15,16
2023-07-17,49
2023-07-18,77
2023-07-19,3
2023-07-25,276
2023-07-26,11
2023-07-27,17
2023-07-29,203
2023-07-30,2
2023-07-31,3
2023-08-02,25
2023-08-03,116
2023-08-04,9
2023-08-05,207
2023-08-06,2
2023-08-08,9
2023-08-09,50
2023-08-11,207
2023-08-14,67
2023-08-25,41
2023-08-26,46
2023-08-27,30
2023-08-28,98
2023-08-30,81
2023-09-07,10
2023-09-08,206
2023-09-09,53
2023-09-13,10
2023-09-19,40
2023-09-23,12
2023-09-24,3
2023-09-28,9
2023-09-29,2
2023-09-30,7
2023-10-04,9
2023-10-07,12
2023-10-08,147
2023-10-10,45
2023-10-14,14
2023-10-16,129
2023-10-24,9
2023-10-28,54
2023-10-31,11
2023-11-02,35
2023-11-05,2
2023-11-19,136
2023-11-21,7
2023-11-24,3
2023-11-25,3
2023-11-30,26
2023-12-07,7
2023-12-08,91
2023-12-09,402
2023-12-10,375
2023-12-12,199
2023-12-13,88
2023-12-16,20
2023-12-18,14
2023-12-19,207
2023-12-20,1135
2023-12-21,292
2023-12-24,203
2023-12-29,47
2023-12-31,52
2024-01-01,14
2024-01-04,11
2024-01-05,12
2024-01-07,33
2024-01-08,245
2024-01-09,45
2024-01-10,150
2024-01-11,30
2024-01-12,85
2024-01-13,9
2024-01-14,104
2024-01-15,34
2024-01-16,6
2024-01-17,230
2024-01-18,1
2024-01-19,108
2024-01-20,80
2024-01-21,19
2024-01-22,49
2024-01-23,33
2024-01-24,23
2024-01-25,25
2024-01-26,125
2024-01-27,21
2024-01-28,13
2024-01-30,10
2024-01-31,53
2024-02-01,40
2024-02-02,56
2024-02-03,24
2024-02-04,71
2024-02-05,95
2024-02-06,15
2024-02-07,370
2024-02-08,53
2024-02-09,15
2024-02-10,49
2024-02-11,6
2024-02-14,33
2024-02-15,35
2024-02-16,59
2024-02-21,151
2024-02-23,27
2024-02-26,102
2024-02-27,77
2024-03-01,25
2024-03-04,40
2024-03-05,30
2024-03-12,89
2024-03-13,11
2024-03-15,38
2024-03-18,7
2024-03-19,2
2024-03-20,54
2024-03-21,83
2024-03-22,116
2024-03-24,172
2024-03-25,48
2024-03-26,130
2024-03-27,17
2024-03-28,24
2024-03-29,38
2024-03-31,5
2024-04-01,52
2024-04-02,38
2024-04-03,271
2024-04-06,15
2024-04-07,13
2024-04-08,27
2024-04-09,57
2024-04-11,80
2024-04-12,24
2024-04-13,8
2024-04-14,42
2024-04-15,26
2024-04-19,8
2024-04-20,206
2024-04-21,50
2024-04-22,10
2024-04-23,94
2024-04-24,105
2024-04-25,138
2024-04-26,10
2024-04-27,17
2024-04-28,5
2024-04-29,87
2024-04-30,5
2024-05-01,51
2024-05-05,128
2024-05-09,5
2024-05-10,3
2024-05-11,8
2024-05-15,272
2024-05-16,36
2024-05-17,52
2024-05-20,30
2024-05-22,51
2024-05-24,37
2024-05-27,188
2024-05-28,206
2024-05-29,89
2024-05-30,79
2024-05-31,51
2024-06-01,85
2024-06-02,16
2024-06-03,121
2024-06-04,137
2024-06-05,191
2024-06-06,79
2024-06-07,98
2024-06-08,19
2024-06-09,8
2024-06-11,17
2024-06-12,44
2024-06-13,84
2024-06-14,31
2024-06-15,69
2024-06-16,51
2024-06-17,83
2024-06-18,7
2024-06-19,66
2024-06-20,14
2024-06-21,20
2024-06-22,168
2024-06-23,29
2024-06-24,27
2024-06-25,50
2024-06-26,66
2024-06-27,81
2024-06-28,41
2024-06-29,126
2024-06-30,35
2024-07-02,162
2024-07-03,147
2024-07-04,20
2024-07-05,33
2024-07-06,215
2024-07-10,58
2024-07-11,15
2024-07-12,237
2024-07-13,16
2024-07-15,35
2024-07-16,23
2024-07-17,67
2024-07-18,21
2024-07-19,251
2024-07-20,22
2024-07-21,2
2024-07-22,4
2024-07-23,17
2024-07-24,203
2024-07-25,51
2024-07-26,260
2024-07-27,19
2024-07-28,8
2024-07-30,41
2024-07-31,10
2024-08-02,75
2024-08-03,118
2024-08-04,163
2024-08-05,279
2024-08-06,46
2024-08-08,419
2024-08-09,168
2024-08-10,27
2024-08-12,161
2024-08-13,139
2024-08-14,173
2024-08-15,196
2024-08-16,96
2024-08-17,105
2024-08-18,9
2024-08-19,151
2024-08-20,413
2024-08-21,29
2024-08-22,540
2024-08-23,18
2024-08-24,159
2024-08-25,49
2024-08-26,125
2024-08-27,123
2024-08-28,12
2024-08-29,14
2024-08-31,96
2024-09-01,84
2024-09-02,99
2024-09-03,319
2024-09-04,19
2024-09-05,38
2024-09-06,113
2024-09-07,22
2024-09-09,13
2024-09-10,28
2024-09-11,34
2024-09-12,83
2024-09-13,192
2024-09-14,5
2024-09-18,581
2024-09-19,44
2024-09-20,44
2024-09-21,4
2024-09-22,23
2024-09-23,240
2024-09-25,12
2024-09-26,43
2024-09-27,31
2024-09-28,2
2024-09-30,20
2024-10-01,89
2024-10-02,109
2024-10-04,21
2024-10-05,26
2024-10-06,17
2024-10-09,14
2024-10-10,13
2024-10-11,2
2024-10-12,32
2024-10-15,108
2024-10-16,28
2024-10-17,306
2024-10-18,34
2024-10-19,54
2024-10-20,75
2024-10-21,14
2024-10-22,64
2024-10-23,14
2024-10-24,27
2024-10-25,162
2024-10-26,45
2024-10-27,32
2024-10-29,125
2024-11-01,57
2024-11-02,44
2024-11-03,20
2024-11-04,45
2024-11-05,29
2024-11-06,151
2024-11-08,45
2024-11-09,7
2024-11-11,108
2024-11-12,8
2024-11-15,27
2024-11-16,83
2024-11-17,93
2024-11-19,10
2024-11-21,52
2024-11-25,3
2024-11-28,189
2024-12-01,421
2024-12-02,20
2024-12-03,52
2024-12-05,42
2024-12-06,1
2024-12-07,15
2024-12-09,47
2024-12-11,380
2024-12-12,22
2024-12-14,51
2024-12-15,143
2024-12-16,298
2024-12-17,160
2024-12-18,23
2024-12-19,6
2024-12-20,6
2024-12-21,40
2024-12-22,75
2024-12-23,1
2024-12-24,36
2024-12-26,233
2024-12-27,6
2024-12-28,80
2024-12-29,245
2024-12-30,39
2024-12-31,45
2025-01-01,325
2025-01-02,49
2025-01-03,42
2025-01-04,3
2025-01-05,67
2025-01-08,5
2025-01-09,99
2025-01-10,45
2025-01-15,8
2025-01-16,14
2025-01-17,106
2025-01-19,64
2025-01-20,99
2025-01-21,40
2025-01-22,217
2025-01-23,106
2025-01-24,62
2025-01-25,26
2025-01-26,3
2025-01-27,9
2025-01-28,85
2025-01-29,105
2025-01-30,104
